YEAR,REGION,CROP,UNIT,YIELD,HUMIDITY,RAINFALL,TEMPERATURE
1961,Angola,Maize (corn),100 g/ha,8113.0,68.18,1367.36,21.19
1962,Angola,Maize (corn),100 g/ha,8113.0,65.69,1195.71,21.25
1963,Angola,Maize (corn),100 g/ha,7692.0,68.94,1251.6,21.05
1964,Angola,Maize (corn),100 g/ha,8654.0,63.68,1081.46,21.23
1965,Angola,Maize (corn),100 g/ha,9375.0,63.34,1204.52,21.21
1966,Angola,Maize (corn),100 g/ha,7917.0,64.35,1187.93,21.74
1967,Angola,Maize (corn),100 g/ha,7600.0,66.57,1320.92,21.1
1968,Angola,Maize (corn),100 g/ha,7827.0,64.28,1143.37,21.2
1969,Angola,Maize (corn),100 g/ha,9000.0,66.07,1329.05,21.4
1970,Angola,Maize (corn),100 g/ha,9120.0,63.34,1135.58,21.59
1971,Angola,Maize (corn),100 g/ha,7776.0,63.5,1060.76,21.27
1972,Angola,Maize (corn),100 g/ha,7547.0,64.67,1120.19,21.24
1973,Angola,Maize (corn),100 g/ha,7288.0,62.25,1009.98,21.78
1974,Angola,Maize (corn),100 g/ha,6667.0,65.98,1123.78,20.85
1975,Angola,Maize (corn),100 g/ha,7500.0,64.47,1081.58,21.13
1976,Angola,Maize (corn),100 g/ha,7500.0,66.31,1289.11,20.79
1977,Angola,Maize (corn),100 g/ha,5833.0,64.1,1125.07,21.59
1978,Angola,Maize (corn),100 g/ha,6667.0,63.87,1041.35,21.34
1979,Angola,Maize (corn),100 g/ha,5000.0,64.67,1166.42,21.57
1980,Angola,Maize (corn),100 g/ha,6000.0,59.14,886.18,21.96
1981,Angola,Maize (corn),100 g/ha,4167.0,60.07,970.34,21.76
1982,Angola,Maize (corn),100 g/ha,4167.0,64.39,1101.74,21.54
1983,Angola,Maize (corn),100 g/ha,4583.0,62.5,1080.09,22.04
1984,Angola,Maize (corn),100 g/ha,4333.0,63.09,1170.75,21.73
1985,Angola,Maize (corn),100 g/ha,4167.0,60.62,963.56,21.61
1986,Angola,Maize (corn),100 g/ha,3500.0,63.85,1200.97,21.51
1987,Angola,Maize (corn),100 g/ha,3529.0,62.09,1096.85,22.27
1988,Angola,Maize (corn),100 g/ha,3000.0,64.58,1261.84,21.91
1989,Angola,Maize (corn),100 g/ha,2358.0,62.01,1036.61,21.83
1990,Angola,Maize (corn),100 g/ha,2736.0,63.88,1214.33,22.03
1991,Angola,Maize (corn),100 g/ha,4013.0,63,1128.38,21.85
1992,Angola,Maize (corn),100 g/ha,3778.0,63.13,1088.71,21.81
1993,Angola,Maize (corn),100 g/ha,2627.0,64.32,1213.88,21.81
1994,Angola,Maize (corn),100 g/ha,2463.0,61.48,1076.98,21.89
1995,Angola,Maize (corn),100 g/ha,3517.0,61.81,1110.39,22.29
1996,Angola,Maize (corn),100 g/ha,6993.0,59.67,1015,22.17
1997,Angola,Maize (corn),100 g/ha,5959.0,61.74,1126.56,22.04
1998,Angola,Maize (corn),100 g/ha,7396.0,61.28,1167.88,22.63
1999,Angola,Maize (corn),100 g/ha,6361.0,62.56,1226.6,21.82
2000,Angola,Maize (corn),100 g/ha,5745.0,61.86,1058.64,21.86
2001,Angola,Maize (corn),100 g/ha,5754.0,63.11,1159.24,21.88
2002,Angola,Maize (corn),100 g/ha,6706.0,63.63,1232.6,22.07
2003,Angola,Maize (corn),100 g/ha,7559.0,62.4,1135.17,22.22
2004,Angola,Maize (corn),100 g/ha,5404.0,62.8,1148.11,21.88
2005,Angola,Maize (corn),100 g/ha,6736.0,61.86,1127.38,22.43
2006,Angola,Maize (corn),100 g/ha,4687.0,64.07,1218.58,21.71
2007,Angola,Maize (corn),100 g/ha,5091.0,61.12,1095.95,22.08
2008,Angola,Maize (corn),100 g/ha,7946.0,60.85,1145.27,21.98
2009,Angola,Maize (corn),100 g/ha,6614.0,61.3,1141.28,22.25
2010,Angola,Maize (corn),100 g/ha,7200.0,62.25,1202.21,22.35
2011,Angola,Maize (corn),100 g/ha,7376.0,62.95,1227.49,21.87
2012,Angola,Maize (corn),100 g/ha,7770.0,60.08,1056.17,22.16
2013,Angola,Maize (corn),100 g/ha,9467.0,59.4,1073.38,22.39
2014,Angola,Maize (corn),100 g/ha,10386.0,61.11,1097.88,22.41
2015,Angola,Maize (corn),100 g/ha,11234.0,59.84,1086.58,22.82
2016,Angola,Maize (corn),100 g/ha,9785.0,61.16,1174.58,22.89
2017,Angola,Maize (corn),100 g/ha,8935.0,61.41,1054.14,22.67
2018,Angola,Maize (corn),100 g/ha,10477.0,61.43,1124.22,22.76
2019,Angola,Maize (corn),100 g/ha,10666.0,59.58,1057.26,23.27
